run,seed,regeneration-rate,num-turtles,search-radius,knowledge-gain,old-age,metabolism,shock-prob,reproduction-cost,[steps],numTurtles,meanFood,totKnowledge,knowledgeTranferred
112,2,0.5,100,5,0.1,75,0.25,0,0.5,32,0,0,0,0
113,3,0.5,100,5,0.1,75,0.25,0,0.5,151,0,0,0,0
114,4,0.5,100,5,0.1,75,0.25,0,0.5,35,0,0,0,0
115,5,0.5,100,5,0.1,75,0.25,0,0.5,46,0,0,0,0
116,6,0.5,100,5,0.1,75,0.25,0,0.5,38,0,0,0,0
117,7,0.5,100,5,0.1,75,0.25,0,0.5,243,0,0,0,0
118,8,0.5,100,5,0.1,75,0.25,0,0.5,59,0,0,0,0
119,9,0.5,100,5,0.1,75,0.25,0,0.5,65,0,0,0,0
120,10,0.5,100,5,0.1,75,0.25,0,0.5,59,0,0,0,0
121,1,0.1,100,5,0.25,75,0.25,0,0.5,38,0,0,0,0
122,2,0.1,100,5,0.25,75,0.25,0,0.5,147,0,0,0,0
123,3,0.1,100,5,0.25,75,0.25,0,0.5,63,0,0,0,0
124,4,0.1,100,5,0.25,75,0.25,0,0.5,66,0,0,0,0
125,5,0.1,100,5,0.25,75,0.25,0,0.5,92,0,0,0,0
126,6,0.1,100,5,0.25,75,0.25,0,0.5,47,0,0,0,0
127,7,0.1,100,5,0.25,75,0.25,0,0.5,34,0,0,0,0
128,8,0.1,100,5,0.25,75,0.25,0,0.5,30,0,0,0,0
129,9,0.1,100,5,0.25,75,0.25,0,0.5,45,0,0,0,0
130,10,0.1,100,5,0.25,75,0.25,0,0.5,56,0,0,0,0
131,1,0.2,100,5,0.25,75,0.25,0,0.5,206,0,0,0,0
132,2,0.2,100,5,0.25,75,0.25,0,0.5,172,0,0,0,0
133,3,0.2,100,5,0.25,75,0.25,0,0.5,65,0,0,0,0
134,4,0.2,100,5,0.25,75,0.25,0,0.5,58,0,0,0,0
135,5,0.2,100,5,0.25,75,0.25,0,0.5,154,0,0,0,0
136,6,0.2,100,5,0.25,75,0.25,0,0.5,62,0,0,0,0
137,7,0.2,100,5,0.25,75,0.25,0,0.5,40,0,0,0,0
138,8,0.2,100,5,0.25,75,0.25,0,0.5,59,0,0,0,0
139,9,0.2,100,5,0.25,75,0.25,0,0.5,40,0,0,0,0
140,10,0.2,100,5,0.25,75,0.25,0,0.5,28,0,0,0,0
141,1,0.5,100,5,0.25,75,0.25,0,0.5,760,0,0,0,0
142,2,0.5,100,5,0.25,75,0.25,0,0.5,32,0,0,0,0
143,3,0.5,100,5,0.25,75,0.25,0,0.5,151,0,0,0,0
144,4,0.5,100,5,0.25,75,0.25,0,0.5,35,0,0,0,0
145,5,0.5,100,5,0.25,75,0.25,0,0.5,46,0,0,0,0
146,6,0.5,100,5,0.25,75,0.25,0,0.5,38,0,0,0,0
147,7,0.5,100,5,0.25,75,0.25,0,0.5,243,0,0,0,0
148,8,0.5,100,5,0.25,75,0.25,0,0.5,59,0,0,0,0
149,9,0.5,100,5,0.25,75,0.25,0,0.5,65,0,0,0,0
150,10,0.5,100,5,0.25,75,0.25,0,0.5,59,0,0,0,0
151,1,0.1,100,5,0.5,75,0.25,0,0.5,38,0,0,0,0
152,2,0.1,100,5,0.5,75,0.25,0,0.5,147,0,0,0,0
153,3,0.1,100,5,0.5,75,0.25,0,0.5,63,0,0,0,0
154,4,0.1,100,5,0.5,75,0.25,0,0.5,66,0,0,0,0
155,5,0.1,100,5,0.5,75,0.25,0,0.5,92,0,0,0,0
156,6,0.1,100,5,0.5,75,0.25,0,0.5,47,0,0,0,0
157,7,0.1,100,5,0.5,75,0.25,0,0.5,34,0,0,0,0
158,8,0.1,100,5,0.5,75,0.25,0,0.5,39,0,0,0,0
159,9,0.1,100,5,0.5,75,0.25,0,0.5,45,0,0,0,0
160,10,0.1,100,5,0.5,75,0.25,0,0.5,56,0,0,0,0
161,1,0.2,100,5,0.5,75,0.25,0,0.5,206,0,0,0,0
162,2,0.2,100,5,0.5,75,0.25,0,0.5,172,0,0,0,0
163,3,0.2,100,5,0.5,75,0.25,0,0.5,65,0,0,0,0
164,4,0.2,100,5,0.5,75,0.25,0,0.5,58,0,0,0,0
165,5,0.2,100,5,0.5,75,0.25,0,0.5,154,0,0,0,0
166,6,0.2,100,5,0.5,75,0.25,0,0.5,62,0,0,0,0
167,7,0.2,100,5,0.5,75,0.25,0,0.5,40,0,0,0,0
168,8,0.2,100,5,0.5,75,0.25,0,0.5,59,0,0,0,0
169,9,0.2,100,5,0.5,75,0.25,0,0.5,40,0,0,0,0
170,10,0.2,100,5,0.5,75,0.25,0,0.5,28,0,0,0,0
171,1,0.5,100,5,0.5,75,0.25,0,0.5,760,0,0,0,0
172,2,0.5,100,5,0.5,75,0.25,0,0.5,32,0,0,0,0
173,3,0.5,100,5,0.5,75,0.25,0,0.5,151,0,0,0,0
174,4,0.5,100,5,0.5,75,0.25,0,0.5,60,0,0,0,0
175,5,0.5,100,5,0.5,75,0.25,0,0.5,46,0,0,0,0
176,6,0.5,100,5,0.5,75,0.25,0,0.5,38,0,0,0,0
177,7,0.5,100,5,0.5,75,0.25,0,0.5,243,0,0,0,0
178,8,0.5,100,5,0.5,75,0.25,0,0.5,59,0,0,0,0
179,9,0.5,100,5,0.5,75,0.25,0,0.5,65,0,0,0,0
180,10,0.5,100,5,0.5,75,0.25,0,0.5,59,0,0,0,0
181,1,0.1,100,5,0.1,75,0.1,0.1,0.5,357,0,0,0,0
182,2,0.1,100,5,0.1,75,0.1,0.1,0.5,171,0,0,0,0
183,3,0.1,100,5,0.1,75,0.1,0.1,0.5,183,0,0,0,0
184,4,0.1,100,5,0.1,75,0.1,0.1,0.5,122,0,0,0,0
185,5,0.1,100,5,0.1,75,0.1,0.1,0.5,37,0,0,0,0
186,6,0.1,100,5,0.1,75,0.1,0.1,0.5,352,0,0,0,0
187,7,0.1,100,5,0.1,75,0.1,0.1,0.5,88,0,0,0,0
188,8,0.1,100,5,0.1,75,0.1,0.1,0.5,147,0,0,0,0
189,9,0.1,100,5,0.1,75,0.1,0.1,0.5,51,0,0,0,0
190,10,0.1,100,5,0.1,75,0.1,0.1,0.5,81,0,0,0,0
191,1,0.2,100,5,0.1,75,0.1,0.1,0.5,282,0,0,0,0
192,2,0.2,100,5,0.1,75,0.1,0.1,0.5,999,1,1.4,0.9,0.3
193,3,0.2,100,5,0.1,75,0.1,0.1,0.5,85,0,0,0,0
194,4,0.2,100,5,0.1,75,0.1,0.1,0.5,109,0,0,0,0
195,5,0.2,100,5,0.1,75,0.1,0.1,0.5,293,0,0,0,0
196,6,0.2,100,5,0.1,75,0.1,0.1,0.5,365,0,0,0,0
197,7,0.2,100,5,0.1,75,0.1,0.1,0.5,285,0,0,0,0
198,8,0.2,100,5,0.1,75,0.1,0.1,0.5,106,0,0,0,0
