[run number],seed,regeneration-rate,num-turtles,search-radius,knowledge-gain,old-age,metabolism,shock-prob,reproduction-cost,[steps],variable,value
58,8,1,100,5,0.25,75,0.1,0,0.5,999,numTurtles,129
58,,,,,,,,,,999,meanFood,1.441085271
58,,,,,,,,,,999,totKnowledge,26.5
59,9,1,100,5,0.25,75,0.1,0,0.5,999,numTurtles,189
59,,,,,,,,,,999,meanFood,1.312698413
59,,,,,,,,,,999,totKnowledge,32.75
60,10,1,100,5,0.25,75,0.1,0,0.5,999,numTurtles,213
60,,,,,,,,,,999,meanFood,1.271361502
60,,,,,,,,,,999,totKnowledge,43.25
61,1,0.2,100,5,0.5,75,0.1,0,0.5,999,numTurtles,209
61,,,,,,,,,,999,meanFood,1.218660287
61,,,,,,,,,,999,totKnowledge,115
62,2,0.2,100,5,0.5,75,0.1,0,0.5,999,numTurtles,186
62,,,,,,,,,,999,meanFood,1.3
62,,,,,,,,,,999,totKnowledge,131
63,3,0.2,100,5,0.5,75,0.1,0,0.5,999,numTurtles,224
63,,,,,,,,,,999,meanFood,1.305357143
63,,,,,,,,,,999,totKnowledge,105.5
64,4,0.2,100,5,0.5,75,0.1,0,0.5,999,numTurtles,160
64,,,,,,,,,,999,meanFood,1.22625
64,,,,,,,,,,999,totKnowledge,59
65,5,0.2,100,5,0.5,75,0.1,0,0.5,999,numTurtles,193
65,,,,,,,,,,999,meanFood,1.278238342
65,,,,,,,,,,999,totKnowledge,76
66,6,0.2,100,5,0.5,75,0.1,0,0.5,999,numTurtles,185
66,,,,,,,,,,999,meanFood,1.364864865
66,,,,,,,,,,999,totKnowledge,100.5
67,7,0.2,100,5,0.5,75,0.1,0,0.5,999,numTurtles,204
67,,,,,,,,,,999,meanFood,1.267647059
67,,,,,,,,,,999,totKnowledge,107
68,8,0.2,100,5,0.5,75,0.1,0,0.5,999,numTurtles,129
68,,,,,,,,,,999,meanFood,1.441085271
68,,,,,,,,,,999,totKnowledge,53
69,9,0.2,100,5,0.5,75,0.1,0,0.5,999,numTurtles,189
69,,,,,,,,,,999,meanFood,1.312698413
69,,,,,,,,,,999,totKnowledge,65.5
70,10,0.2,100,5,0.5,75,0.1,0,0.5,999,numTurtles,120
70,,,,,,,,,,999,meanFood,1.244166667
70,,,,,,,,,,999,totKnowledge,38
71,1,0.5,100,5,0.5,75,0.1,0,0.5,999,numTurtles,209
71,,,,,,,,,,999,meanFood,1.218660287
71,,,,,,,,,,999,totKnowledge,115
72,2,0.5,100,5,0.5,75,0.1,0,0.5,999,numTurtles,186
72,,,,,,,,,,999,meanFood,1.3
72,,,,,,,,,,999,totKnowledge,131
73,3,0.5,100,5,0.5,75,0.1,0,0.5,999,numTurtles,224
73,,,,,,,,,,999,meanFood,1.305357143
73,,,,,,,,,,999,totKnowledge,105.5
74,4,0.5,100,5,0.5,75,0.1,0,0.5,999,numTurtles,160
74,,,,,,,,,,999,meanFood,1.22625
74,,,,,,,,,,999,totKnowledge,59
75,5,0.5,100,5,0.5,75,0.1,0,0.5,999,numTurtles,193
75,,,,,,,,,,999,meanFood,1.278238342
75,,,,,,,,,,999,totKnowledge,76
76,6,0.5,100,5,0.5,75,0.1,0,0.5,999,numTurtles,185
76,,,,,,,,,,999,meanFood,1.364864865
76,,,,,,,,,,999,totKnowledge,100.5
77,7,0.5,100,5,0.5,75,0.1,0,0.5,999,numTurtles,204
77,,,,,,,,,,999,meanFood,1.267647059
77,,,,,,,,,,999,totKnowledge,107
78,8,0.5,100,5,0.5,75,0.1,0,0.5,999,numTurtles,129
78,,,,,,,,,,999,meanFood,1.441085271
78,,,,,,,,,,999,totKnowledge,53
79,9,0.5,100,5,0.5,75,0.1,0,0.5,999,numTurtles,189
79,,,,,,,,,,999,meanFood,1.312698413
79,,,,,,,,,,999,totKnowledge,65.5
80,10,0.5,100,5,0.5,75,0.1,0,0.5,999,numTurtles,120
80,,,,,,,,,,999,meanFood,1.244166667
80,,,,,,,,,,999,totKnowledge,38
81,1,1,100,5,0.5,75,0.1,0,0.5,999,numTurtles,209
81,,,,,,,,,,999,meanFood,1.218660287
81,,,,,,,,,,999,totKnowledge,115
82,2,1,100,5,0.5,75,0.1,0,0.5,999,numTurtles,186
82,,,,,,,,,,999,meanFood,1.3
82,,,,,,,,,,999,totKnowledge,131
83,3,1,100,5,0.5,75,0.1,0,0.5,999,numTurtles,224
83,,,,,,,,,,999,meanFood,1.305357143
83,,,,,,,,,,999,totKnowledge,105.5
84,4,1,100,5,0.5,75,0.1,0,0.5,999,numTurtles,160
84,,,,,,,,,,999,meanFood,1.22625
84,,,,,,,,,,999,totKnowledge,59
85,5,1,100,5,0.5,75,0.1,0,0.5,999,numTurtles,193
85,,,,,,,,,,999,meanFood,1.278238342
85,,,,,,,,,,999,totKnowledge,76
86,6,1,100,5,0.5,75,0.1,0,0.5,999,numTurtles,185
86,,,,,,,,,,999,meanFood,1.364864865
86,,,,,,,,,,999,totKnowledge,100.5
87,7,1,100,5,0.5,75,0.1,0,0.5,999,numTurtles,204
87,,,,,,,,,,999,meanFood,1.267647059
87,,,,,,,,,,999,totKnowledge,107
88,8,1,100,5,0.5,75,0.1,0,0.5,999,numTurtles,129
88,,,,,,,,,,999,meanFood,1.441085271
88,,,,,,,,,,999,totKnowledge,53
89,9,1,100,5,0.5,75,0.1,0,0.5,999,numTurtles,189
89,,,,,,,,,,999,meanFood,1.312698413
89,,,,,,,,,,999,totKnowledge,65.5
90,10,1,100,5,0.5,75,0.1,0,0.5,999,numTurtles,120
90,,,,,,,,,,999,meanFood,1.244166667
90,,,,,,,,,,999,totKnowledge,38
91,1,0.2,100,5,0.1,75,0.25,0,0.5,38,numTurtles,0
91,,,,,,,,,,38,meanFood,0
91,,,,,,,,,,38,totKnowledge,0
92,2,0.2,100,5,0.1,75,0.25,0,0.5,147,numTurtles,0
92,,,,,,,,,,147,meanFood,0
92,,,,,,,,,,147,totKnowledge,0
93,3,0.2,100,5,0.1,75,0.25,0,0.5,63,numTurtles,0
93,,,,,,,,,,63,meanFood,0
93,,,,,,,,,,63,totKnowledge,0
94,4,0.2,100,5,0.1,75,0.25,0,0.5,66,numTurtles,0
94,,,,,,,,,,66,meanFood,0
94,,,,,,,,,,66,totKnowledge,0
95,5,0.2,100,5,0.1,75,0.25,0,0.5,92,numTurtles,0
95,,,,,,,,,,92,meanFood,0
95,,,,,,,,,,92,totKnowledge,0
96,6,0.2,100,5,0.1,75,0.25,0,0.5,47,numTurtles,0
96,,,,,,,,,,47,meanFood,0
96,,,,,,,,,,47,totKnowledge,0
97,7,0.2,100,5,0.1,75,0.25,0,0.5,34,numTurtles,0
97,,,,,,,,,,34,meanFood,0
97,,,,,,,,,,34,totKnowledge,0
98,8,0.2,100,5,0.1,75,0.25,0,0.5,30,numTurtles,0
98,,,,,,,,,,30,meanFood,0
98,,,,,,,,,,30,totKnowledge,0
99,9,0.2,100,5,0.1,75,0.25,0,0.5,45,numTurtles,0
99,,,,,,,,,,45,meanFood,0
99,,,,,,,,,,45,totKnowledge,0
100,10,0.2,100,5,0.1,75,0.25,0,0.5,56,numTurtles,0
100,,,,,,,,,,56,meanFood,0
100,,,,,,,,,,56,totKnowledge,0
101,1,0.5,100,5,0.1,75,0.25,0,0.5,38,numTurtles,0
101,,,,,,,,,,38,meanFood,0
101,,,,,,,,,,38,totKnowledge,0
102,2,0.5,100,5,0.1,75,0.25,0,0.5,147,numTurtles,0
102,,,,,,,,,,147,meanFood,0
102,,,,,,,,,,147,totKnowledge,0
103,3,0.5,100,5,0.1,75,0.25,0,0.5,63,numTurtles,0
103,,,,,,,,,,63,meanFood,0
103,,,,,,,,,,63,totKnowledge,0
104,4,0.5,100,5,0.1,75,0.25,0,0.5,66,numTurtles,0
104,,,,,,,,,,66,meanFood,0
104,,,,,,,,,,66,totKnowledge,0
105,5,0.5,100,5,0.1,75,0.25,0,0.5,92,numTurtles,0
105,,,,,,,,,,92,meanFood,0
